state_region,city_tier,employment_type,monthly_income_inr,age,loan_amount_inr,loan_tenure_months,loan_purpose,existing_emis_inr,credit_score,prior_defaults,active_loans,bank_account_age_years,digital_payment_score,residential_status,collateral_type,dependents,delinquency_30dpd_last_12m,debt_to_income_pct,loan_to_income_ratio,defaulted
Central,Tier 3/Rural,Salaried,16800,45,316000,48,Personal,7700,657,0,3,2.6,100,Rented,None,0,1,49.6,1.57,0
South,Tier 1,Gig/Contract,12500,33,283000,84,Business,2300,694,0,0,13.1,70,Owned,None,2,0,21.0,1.89,0
North,Tier 2,Business owner,43100,35,132000,18,Personal,5400,659,0,1,5.7,72,Rented,None,2,0,14.1,0.26,0
East,Tier 2,Business owner,12000,40,155000,84,Personal,1400,656,0,1,13.8,57,Owned,Gold,0,1,13.1,1.08,0
West,Tier 2,Business owner,46000,38,325000,12,Personal,100,799,0,1,6.8,63,Owned,Vehicle,3,0,5.8,0.59,0
West,Tier 2,Salaried,58400,42,511000,36,Business,2100,758,0,2,5.0,90,Owned,Gold,1,1,5.9,0.73,0
Northeast,Tier 3/Rural,Salaried,83300,39,64000,84,Home improvement,28200,835,0,1,5.6,69,Rented,Vehicle,2,2,33.9,0.06,0
West,Tier 2,Self-employed,30000,41,607000,48,Business,8800,744,0,2,6.7,79,Rented,None,4,0,33.3,1.69,0
South,Tier 2,Business owner,46100,33,445000,12,Home improvement,3300,733,0,0,3.4,90,Family owned,Vehicle,3,1,14.8,0.8,0
South,Tier 2,Gig/Contract,60400,25,238000,18,Business,11800,696,0,1,2.8,87,Owned,None,1,0,21.6,0.33,0
South,Tier 1,Self-employed,22100,22,179000,18,Home improvement,3500,652,0,4,10.5,68,Rented,Property,2,1,20.1,0.67,0
North,Tier 1,Self-employed,69800,21,269000,60,Consumer durable,200,754,0,0,4.8,69,Company provided,None,2,0,0.9,0.32,0
East,Tier 1,Gig/Contract,49100,54,138000,12,Two-wheeler,8500,539,1,0,14.0,60,Owned,None,3,2,19.5,0.23,0
East,Tier 1,Business owner,30200,21,186000,24,Personal,9800,634,0,0,8.1,76,Rented,None,1,0,34.9,0.51,0
South,Tier 1,Gig/Contract,45600,48,80000,18,Personal,11800,740,0,0,4.6,60,Owned,None,2,1,26.8,0.15,0
South,Tier 1,Salaried,39100,28,67000,18,Business,19100,685,0,2,16.9,73,Owned,None,0,0,49.8,0.14,0
Central,Tier 2,Salaried,64800,48,952000,24,Business,9400,767,0,1,10.8,86,Rented,None,3,0,20.3,1.22,0
North,Metro,Self-employed,34600,21,218000,18,Personal,8400,734,0,1,2.3,37,Owned,Gold,3,1,27.6,0.53,0
West,Tier 3/Rural,Salaried,47800,34,239000,36,Medical,9000,751,0,2,3.8,34,Rented,Property,1,0,20.1,0.42,0
South,Tier 1,Business owner,30000,51,205000,24,Consumer durable,4700,607,0,2,0.4,66,Family owned,None,2,1,18.4,0.57,0
West,Tier 2,Self-employed,25200,43,122000,24,Personal,1600,847,0,0,5.3,79,Owned,None,1,0,8.3,0.4,0
North,Metro,Self-employed,46400,33,171000,24,Personal,7500,670,0,0,15.7,72,Owned,Property,0,1,17.6,0.31,0
West,Tier 1,Salaried,25800,21,222000,18,Personal,7600,526,0,3,1.8,45,Family owned,None,0,0,34.0,0.72,0
South,Metro,Self-employed,65500,23,184000,36,Two-wheeler,29700,831,0,0,7.3,83,Rented,Vehicle,3,0,46.1,0.23,0
West,Tier 2,Self-employed,58400,50,128000,24,Medical,10800,803,0,1,19.0,100,Family owned,None,1,0,19.4,0.18,0
North,Tier 1,Salaried,27700,33,285000,24,Business,14700,638,0,1,5.5,51,Owned,None,2,0,57.1,0.86,0
South,Tier 3/Rural,Business owner,47500,35,236000,12,Personal,8300,700,0,0,7.1,54,Rented,None,3,1,21.4,0.41,0
West,Tier 1,Salaried,27600,39,270000,6,Education,6400,791,0,1,4.8,67,Family owned,None,0,0,38.7,0.82,0
North,Tier 2,Salaried,17500,23,330000,48,Personal,2200,813,0,2,3.7,65,Owned,Gold,2,1,16.3,1.57,0
North,Tier 1,Salaried,30400,40,187000,48,Two-wheeler,2500,813,0,3,9.1,89,Family owned,Vehicle,4,0,9.4,0.51,0
North,Tier 2,Self-employed,41000,32,187000,12,Two-wheeler,20200,790,0,1,9.2,72,Rented,None,3,0,52.9,0.38,0
South,Tier 1,Gig/Contract,56200,39,548000,18,Business,9800,782,0,1,7.8,62,Family owned,Property,1,0,22.6,0.81,0
North,Tier 1,Business owner,45800,30,113000,18,Business,3000,700,0,1,4.3,56,Owned,None,1,0,7.9,0.21,0
Northeast,Metro,Salaried,69500,21,62000,36,Medical,37800,618,0,2,7.8,40,Rented,None,2,1,54.6,0.07,0
South,Metro,Unemployed,24600,32,300000,12,Personal,4000,664,0,2,2.2,92,Owned,Property,0,0,25.9,1.02,0
East,Metro,Gig/Contract,34300,42,139000,84,Home improvement,5000,770,0,1,8.3,78,Company provided,Property,2,2,15.0,0.34,0
Northeast,Tier 3/Rural,Salaried,104200,40,104000,6,Personal,2400,794,0,4,3.6,65,Owned,None,1,0,3.9,0.08,0
North,Tier 1,Salaried,14600,36,372000,84,Two-wheeler,4900,669,0,1,3.4,69,Owned,None,3,2,36.4,2.12,0
West,Metro,Salaried,32900,45,190000,6,Medical,12100,580,1,0,13.5,65,Family owned,None,1,1,45.9,0.48,1
Central,Tier 3/Rural,Business owner,23400,34,92000,18,Business,8200,812,0,1,0.9,35,Owned,None,1,1,37.1,0.33,0
West,Metro,Salaried,37900,37,735000,18,Personal,10200,762,0,2,5.4,41,Rented,Vehicle,3,0,37.1,1.62,0
South,Tier 1,Self-employed,33200,31,73000,18,Education,4900,702,0,3,2.3,63,Owned,None,0,2,15.9,0.18,0
South,Tier 2,Gig/Contract,58800,46,198000,84,Home improvement,10400,638,0,1,6.6,63,Rented,Gold,2,0,18.1,0.28,0
North,Tier 3/Rural,Business owner,48600,39,61000,24,Consumer durable,6900,706,0,2,3.8,67,Owned,None,4,0,14.7,0.1,0
West,Tier 2,Self-employed,20600,30,249000,12,Business,4200,777,0,0,2.5,98,Rented,None,2,1,30.0,1.01,0
Northeast,Tier 1,Gig/Contract,30500,21,138000,84,Personal,8400,582,0,2,4.8,62,Rented,None,0,0,28.1,0.38,0
Northeast,Tier 3/Rural,Salaried,42200,47,356000,12,Education,10000,707,0,0,3.2,53,Rented,None,3,0,30.4,0.7,0
North,Metro,Business owner,63400,29,207000,6,Personal,17400,766,0,2,3.3,68,Owned,Gold,0,0,32.6,0.27,0
East,Tier 3/Rural,Salaried,160800,37,503000,6,Personal,8900,860,0,1,8.5,42,Owned,Fixed deposit,1,0,10.5,0.26,0
South,Tier 3/Rural,Salaried,62100,60,158000,24,Business,1500,780,0,1,2.1,70,Family owned,Property,1,1,3.4,0.21,0
Central,Tier 3/Rural,Unemployed,24200,44,74000,60,Home improvement,8600,769,0,1,1.1,54,Owned,Gold,2,1,36.0,0.25,0
North,Tier 1,Salaried,40100,52,244000,6,Personal,18700,790,0,1,6.8,71,Owned,None,1,0,56.3,0.51,0
Central,Metro,Salaried,46600,31,177000,36,Home improvement,12200,820,0,1,5.3,64,Rented,Property,1,0,27.2,0.32,0
East,Tier 2,Self-employed,31700,47,64000,18,Business,5600,663,0,0,3.7,64,Rented,Property,1,0,18.7,0.17,0
North,Tier 2,Salaried,54600,36,105000,12,Home improvement,13600,693,0,0,8.4,78,Family owned,Property,1,0,26.4,0.16,0
North,Tier 2,Salaried,12100,40,129000,36,Personal,4100,868,0,0,14.1,80,Rented,None,3,0,36.7,0.89,0
East,Tier 3/Rural,Self-employed,57200,56,574000,36,Two-wheeler,19400,708,0,2,5.8,100,Family owned,None,2,0,36.6,0.84,0
North,Tier 2,Gig/Contract,32500,33,331000,24,Personal,3700,701,0,1,5.9,79,Rented,Vehicle,2,0,15.4,0.85,0
West,Tier 1,Gig/Contract,39700,36,167000,12,Personal,5600,484,0,1,2.7,63,Family owned,None,0,1,17.4,0.35,0
Central,Tier 1,Salaried,94500,27,284000,6,Two-wheeler,19200,762,0,0,2.2,56,Family owned,None,3,1,25.1,0.25,0
West,Metro,Self-employed,21100,45,56000,36,Two-wheeler,9500,616,0,1,5.5,73,Owned,None,1,1,45.7,0.22,0
South,Metro,Gig/Contract,49000,30,145000,36,Personal,18400,662,0,1,1.7,93,Company provided,Gold,1,0,38.3,0.25,1
South,Metro,Salaried,65300,46,271000,24,Personal,15000,806,0,2,1.5,82,Family owned,None,1,0,24.6,0.35,0
North,Tier 3/Rural,Salaried,46300,21,233000,12,Consumer durable,8100,408,1,1,7.4,54,Rented,Gold,4,3,21.5,0.42,0
Northeast,Tier 2,Salaried,17400,41,147000,36,Home improvement,1200,809,0,1,2.2,75,Owned,Gold,2,1,9.1,0.7,0
South,Tier 2,Self-employed,88700,30,204000,6,Two-wheeler,33900,666,0,0,7.6,71,Owned,None,0,0,41.9,0.19,0
North,Tier 1,Salaried,37600,43,260000,36,Consumer durable,1000,636,1,1,11.2,86,Rented,None,1,0,4.5,0.58,0
South,Tier 2,Gig/Contract,31600,36,208000,36,Personal,17600,519,1,2,7.1,72,Rented,Property,2,2,57.4,0.55,0
Northeast,Tier 3/Rural,Unemployed,35600,31,366000,12,Two-wheeler,9700,545,0,1,1.9,72,Rented,None,1,0,35.4,0.86,0
North,Tier 3/Rural,Salaried,34200,32,257000,24,Medical,11900,643,0,2,17.0,46,Rented,None,2,1,37.8,0.63,0
Central,Tier 2,Self-employed,21900,27,291000,24,Education,9100,557,1,0,6.1,81,Rented,None,1,1,46.8,1.11,0
East,Tier 3/Rural,Salaried,46200,44,637000,36,Personal,23600,608,0,3,5.8,42,Owned,None,1,1,54.7,1.15,0
East,Tier 2,Salaried,30400,26,358000,60,Two-wheeler,4400,841,0,0,5.3,69,Owned,Gold,3,1,16.3,0.98,0
Northeast,Tier 1,Gig/Contract,61000,33,648000,24,Education,11000,612,0,2,3.7,57,Owned,None,2,0,22.2,0.89,0
Central,Tier 3/Rural,Salaried,56100,39,135000,6,Business,22000,593,0,2,2.9,56,Family owned,Property,0,0,43.0,0.2,0
Northeast,Tier 1,Business owner,103200,52,74000,18,Two-wheeler,30400,418,1,2,0.9,77,Rented,None,1,2,29.8,0.06,1
North,Tier 1,Self-employed,37600,36,191000,36,Education,10200,768,0,0,2.3,67,Family owned,Fixed deposit,3,0,28.5,0.42,0
East,Tier 1,Salaried,27100,34,180000,18,Two-wheeler,1400,605,0,1,4.9,24,Family owned,Gold,3,0,8.7,0.55,0
West,Tier 2,Salaried,18800,39,540000,36,Education,4600,715,0,0,7.4,63,Family owned,None,2,0,32.0,2.39,0
West,Tier 2,Salaried,141000,21,100000,12,Personal,3000,883,0,1,3.1,60,Rented,Gold,3,0,2.7,0.06,0
Central,Tier 2,Business owner,60700,24,199000,12,Medical,1600,728,0,2,6.8,90,Family owned,None,0,1,5.2,0.27,0
Northeast,Tier 1,Self-employed,28800,32,272000,12,Home improvement,9800,731,0,1,4.7,45,Family owned,Fixed deposit,0,1,41.5,0.79,0
East,Metro,Salaried,107100,29,223000,48,Two-wheeler,22900,727,0,0,5.4,100,Family owned,Vehicle,0,0,21.8,0.17,0
West,Tier 3/Rural,Self-employed,89000,21,187000,36,Home improvement,23200,741,0,0,9.6,82,Owned,None,0,0,26.6,0.18,0
South,Tier 1,Self-employed,20100,45,264000,24,Personal,5400,684,0,1,6.9,62,Rented,None,3,1,32.1,1.09,0
South,Tier 3/Rural,Gig/Contract,27900,39,421000,18,Two-wheeler,14000,751,0,0,7.7,59,Owned,Fixed deposit,0,0,58.1,1.26,0
South,Metro,Salaried,39200,37,567000,60,Education,6400,849,0,1,18.0,56,Owned,Gold,1,1,18.6,1.21,0
South,Tier 2,Salaried,23400,29,213000,60,Education,3100,678,0,1,3.1,73,Rented,None,1,0,14.7,0.76,0
North,Tier 2,Salaried,40000,37,123000,24,Home improvement,15400,641,0,4,9.1,53,Family owned,None,3,1,39.7,0.26,0
North,Tier 3/Rural,Salaried,62400,41,567000,36,Consumer durable,2400,694,0,0,7.6,65,Owned,None,3,1,6.2,0.76,0
East,Metro,Self-employed,19800,33,104000,60,Two-wheeler,4800,797,0,0,7.6,47,Owned,Gold,2,1,25.1,0.44,0
South,Tier 3/Rural,Salaried,49600,40,669000,18,Two-wheeler,6600,742,0,3,6.4,80,Family owned,Gold,1,0,20.4,1.12,0
Central,Tier 2,Salaried,80200,28,501000,18,Business,8300,745,0,1,7.2,70,Owned,Vehicle,3,1,13.6,0.52,0
West,Tier 2,Salaried,52600,37,550000,24,Two-wheeler,11300,745,0,1,4.8,59,Owned,Gold,3,1,25.6,0.87,0
North,Tier 2,Salaried,40500,47,326000,24,Personal,5900,858,0,0,5.9,63,Family owned,Gold,2,2,17.8,0.67,0
North,Metro,Business owner,29200,48,53000,36,Consumer durable,1600,769,0,0,10.4,55,Family owned,None,2,1,6.0,0.15,0
North,Tier 2,Self-employed,66600,49,106000,24,Home improvement,3300,670,0,0,3.9,73,Rented,Vehicle,1,0,5.6,0.13,0
Northeast,Tier 1,Salaried,22100,39,255000,12,Consumer durable,3900,546,0,4,4.2,44,Rented,None,2,0,26.8,0.96,0
North,Tier 1,Self-employed,48200,36,135000,18,Personal,29500,778,0,0,7.3,83,Rented,Vehicle,4,0,62.7,0.23,0
West,Tier 2,Salaried,42800,32,170000,36,Personal,5300,675,0,0,6.9,70,Owned,None,1,0,13.4,0.33,0
Central,Tier 2,Business owner,78400,21,311000,6,Education,18000,548,1,0,4.7,59,Family owned,Gold,1,2,29.2,0.33,0
Northeast,Metro,Self-employed,30600,23,187000,18,Consumer durable,7100,664,0,1,7.4,78,Family owned,Property,1,1,26.4,0.51,0
North,Metro,Self-employed,32100,34,95000,6,Personal,3200,687,0,2,7.4,74,Owned,Vehicle,4,1,14.7,0.25,0
North,Metro,Business owner,21300,35,372000,48,Personal,8200,689,0,3,16.5,48,Owned,None,2,0,42.0,1.46,1
North,Metro,Business owner,53700,50,292000,12,Personal,10300,758,0,1,19.5,91,Owned,Gold,4,0,23.5,0.45,0
North,Tier 2,Gig/Contract,33400,49,178000,6,Home improvement,6800,653,0,1,21.3,22,Owned,None,2,0,28.8,0.44,0
North,Metro,Salaried,26300,29,332000,48,Home improvement,8800,688,0,1,7.4,87,Owned,None,1,0,36.0,1.05,0
West,Tier 3/Rural,Salaried,27700,44,222000,12,Business,5300,765,0,1,9.6,64,Owned,Vehicle,2,1,25.5,0.67,0
Central,Metro,Self-employed,56700,31,497000,36,Personal,30400,711,0,1,7.2,85,Family owned,Vehicle,0,2,55.9,0.73,0
West,Metro,Self-employed,23000,43,231000,24,Home improvement,5600,647,1,2,5.5,93,Owned,None,1,0,28.3,0.84,0
West,Tier 3/Rural,Self-employed,24200,44,494000,48,Education,8000,749,0,0,7.7,59,Rented,Property,1,0,37.1,1.7,0
North,Tier 1,Gig/Contract,69100,48,62000,12,Personal,38000,608,0,3,5.4,60,Rented,None,2,1,55.7,0.07,0
East,Tier 1,Salaried,38500,31,282000,12,Two-wheeler,21200,861,0,0,6.1,73,Family owned,Property,1,0,60.9,0.61,0
West,Tier 3/Rural,Salaried,71400,46,161000,12,Education,1000,877,0,1,5.7,47,Company provided,Vehicle,1,1,3.2,0.19,0
Central,Tier 3/Rural,Self-employed,34600,21,120000,60,Two-wheeler,8000,695,1,0,5.8,61,Rented,Property,3,2,23.7,0.29,0
Northeast,Tier 2,Salaried,42200,49,444000,48,Consumer durable,9000,575,0,0,4.0,60,Owned,Vehicle,1,1,23.4,0.88,0
South,Metro,Self-employed,46000,36,372000,18,Education,17400,703,0,4,9.1,46,Family owned,Fixed deposit,3,0,42.1,0.67,0
North,Tier 2,Gig/Contract,90500,36,57000,12,Two-wheeler,36000,753,0,0,7.5,59,Owned,Gold,2,1,40.3,0.05,0
North,Tier 3/Rural,Self-employed,86500,21,333000,12,Business,27100,668,0,2,3.9,81,Owned,None,2,0,34.4,0.32,0
South,Tier 3/Rural,Gig/Contract,79600,32,307000,12,Business,22800,664,0,0,5.7,79,Owned,None,0,0,31.7,0.32,0
Northeast,Metro,Self-employed,29900,50,131000,12,Personal,8400,604,0,1,3.0,64,Family owned,Vehicle,0,1,31.6,0.37,0
South,Tier 1,Gig/Contract,24500,32,121000,60,Business,800,676,0,0,6.6,68,Owned,None,2,0,4.0,0.41,0
East,Tier 1,Salaried,64100,43,74000,6,Personal,7000,691,0,0,10.3,62,Rented,Property,3,0,12.7,0.1,0
West,Metro,Gig/Contract,90000,36,168000,60,Two-wheeler,17200,506,0,1,4.9,35,Rented,None,2,0,19.4,0.16,0
North,Tier 2,Gig/Contract,80000,47,186000,6,Business,30000,719,1,2,9.0,49,Rented,Property,0,0,41.2,0.19,0
South,Tier 1,Salaried,42500,38,351000,48,Business,2300,650,1,4,5.8,84,Owned,None,3,1,7.0,0.69,0
West,Tier 1,Self-employed,63000,27,249000,24,Two-wheeler,22100,649,0,2,5.0,89,Family owned,Vehicle,3,0,36.6,0.33,0
West,Metro,Business owner,63600,37,105000,6,Personal,4600,800,0,3,3.7,52,Family owned,Fixed deposit,2,0,9.8,0.14,0
South,Tier 2,Salaried,45800,52,244000,48,Education,2100,752,0,0,5.3,87,Rented,None,1,0,5.6,0.44,0
North,Metro,Gig/Contract,46900,41,177000,18,Two-wheeler,16600,815,0,1,9.2,45,Rented,Gold,1,0,37.4,0.31,0
East,Tier 1,Business owner,44500,35,114000,48,Consumer durable,18800,755,0,1,7.2,58,Family owned,None,4,1,42.8,0.21,0
North,Metro,Business owner,27400,59,74000,36,Education,5000,649,0,1,3.3,65,Family owned,Vehicle,1,1,19.0,0.23,0
Central,Tier 3/Rural,Salaried,28900,48,314000,84,Medical,6500,747,0,2,7.7,62,Rented,Vehicle,0,2,23.7,0.91,1
North,Metro,Self-employed,28700,44,279000,48,Two-wheeler,2500,781,0,0,6.5,55,Rented,None,2,0,10.6,0.81,0
North,Tier 2,Unemployed,17500,39,300000,12,Medical,8500,724,0,2,3.0,69,Owned,None,2,0,62.1,1.43,0
West,Metro,Self-employed,45600,43,130000,24,Personal,8300,771,0,1,2.5,81,Owned,None,1,1,19.3,0.24,0
West,Metro,Salaried,41300,44,234000,36,Two-wheeler,17200,866,0,1,2.4,41,Owned,None,2,0,43.1,0.47,0
West,Metro,Salaried,64200,21,85000,18,Personal,2800,824,0,1,9.5,69,Owned,Vehicle,4,0,5.1,0.11,0
South,Metro,Gig/Contract,84400,40,110000,24,Personal,29700,640,0,1,3.1,84,Owned,None,3,0,35.7,0.11,0
Northeast,Metro,Salaried,87400,34,214000,12,Consumer durable,28200,766,0,4,5.1,60,Family owned,Property,0,0,34.2,0.2,0
West,Tier 2,Salaried,92100,31,248000,36,Home improvement,10000,674,0,0,7.4,57,Family owned,Fixed deposit,3,0,11.6,0.22,0
South,Tier 2,Salaried,27800,34,72000,18,Business,1100,844,0,0,7.2,52,Family owned,Property,2,0,5.3,0.22,0
South,Metro,Gig/Contract,19200,21,105000,6,Education,3100,678,0,3,7.2,100,Rented,Gold,1,0,24.8,0.46,0
North,Tier 1,Self-employed,70400,21,165000,84,Business,21000,684,1,0,2.8,94,Rented,None,0,4,30.1,0.2,0
West,Tier 2,Business owner,90200,48,390000,48,Business,14500,731,0,3,7.5,62,Owned,Vehicle,4,0,16.9,0.36,0
North,Tier 1,Gig/Contract,99300,41,123000,18,Medical,6600,721,0,2,4.9,88,Rented,Gold,0,0,7.3,0.1,0
West,Tier 1,Unemployed,55100,21,229000,12,Business,11500,653,0,1,6.2,58,Owned,Fixed deposit,1,0,24.2,0.35,0
North,Metro,Business owner,14100,30,245000,36,Home improvement,5000,646,0,0,6.0,64,Rented,None,2,1,40.0,1.45,0
Northeast,Tier 1,Salaried,51600,45,178000,12,Two-wheeler,1100,688,0,2,5.5,48,Company provided,None,2,0,4.9,0.29,0
South,Tier 1,Self-employed,57300,33,249000,36,Consumer durable,6400,770,0,1,10.1,34,Family owned,Fixed deposit,1,0,12.3,0.36,0
Central,Tier 3/Rural,Salaried,84000,48,87000,48,Personal,17200,754,0,0,9.4,57,Owned,Vehicle,2,0,20.7,0.09,0
South,Tier 3/Rural,Unemployed,92600,46,136000,18,Two-wheeler,7200,603,0,1,23.4,59,Family owned,None,2,1,8.6,0.12,0
North,Tier 3/Rural,Salaried,69600,22,531000,18,Medical,13900,776,0,0,12.6,75,Owned,Vehicle,3,0,24.0,0.64,0
East,Tier 1,Self-employed,30500,35,556000,6,Personal,19600,588,1,0,1.9,79,Owned,None,2,0,93.1,1.52,0
West,Metro,Business owner,24000,32,361000,18,Personal,16800,753,0,2,5.8,65,Owned,Gold,0,0,77.9,1.25,0
East,Tier 1,Salaried,56600,22,427000,36,Two-wheeler,17000,832,0,1,12.0,49,Owned,None,3,1,32.0,0.63,0
South,Tier 1,Business owner,27300,21,64000,12,Education,5300,685,0,1,5.4,55,Rented,None,2,0,21.3,0.2,0
West,Metro,Salaried,95000,28,113000,60,Consumer durable,42000,673,0,3,4.7,96,Rented,None,1,1,44.4,0.1,0
Central,Metro,Salaried,16500,30,171000,36,Medical,3500,637,0,3,2.8,78,Owned,None,0,0,23.9,0.86,0
West,Tier 1,Self-employed,57600,39,1005000,12,Education,12500,643,0,0,2.6,93,Company provided,None,2,2,35.5,1.45,0
South,Tier 1,Salaried,50300,46,171000,24,Consumer durable,500,742,0,1,9.0,99,Rented,None,0,1,2.3,0.28,0
West,Metro,Self-employed,37700,41,339000,24,Business,14800,660,0,1,6.2,55,Rented,None,2,1,42.8,0.75,0
West,Tier 2,Business owner,25400,44,267000,24,Medical,2300,608,0,1,1.2,82,Rented,Gold,1,2,13.2,0.88,0
Northeast,Tier 1,Salaried,13600,33,263000,24,Personal,5900,780,0,1,10.5,51,Rented,Gold,2,0,51.0,1.61,0
South,Tier 3/Rural,Self-employed,31500,42,206000,12,Education,2600,802,0,1,11.3,86,Rented,Gold,0,0,13.4,0.54,0
South,Tier 1,Business owner,31800,35,96000,12,Personal,4300,788,0,1,5.1,82,Rented,None,2,0,15.9,0.25,0
East,Tier 2,Gig/Contract,77800,32,36000,12,Personal,5700,487,1,0,5.8,29,Family owned,None,2,1,7.7,0.05,1
West,Metro,Salaried,27400,55,481000,12,Business,4800,856,0,1,12.8,74,Owned,Vehicle,1,0,31.4,1.46,0
East,Tier 2,Business owner,54100,21,140000,36,Personal,7800,698,0,1,5.0,52,Rented,Property,3,0,15.1,0.22,0
South,Metro,Salaried,20700,21,62000,84,Business,4300,659,0,3,1.7,61,Owned,Fixed deposit,2,0,21.1,0.25,0
North,Metro,Self-employed,54900,40,278000,36,Business,15400,830,0,1,9.0,55,Family owned,Fixed deposit,2,0,29.4,0.42,0
East,Tier 2,Self-employed,12300,33,274000,84,Personal,3300,867,0,2,11.1,83,Owned,Gold,1,0,29.3,1.86,0
North,Tier 1,Gig/Contract,133600,22,344000,24,Education,19500,704,0,0,6.4,55,Owned,Property,3,0,15.6,0.21,0
North,Metro,Salaried,39000,25,432000,18,Business,2300,648,0,2,3.1,44,Company provided,None,3,0,11.7,0.92,0
West,Tier 3/Rural,Salaried,12000,27,115000,48,Medical,5500,786,0,1,12.0,52,Rented,Vehicle,1,0,47.7,0.8,0
East,Metro,Gig/Contract,28400,45,118000,6,Two-wheeler,5600,610,0,1,4.5,63,Owned,Fixed deposit,4,0,26.3,0.35,0
Central,Tier 2,Salaried,26100,48,170000,12,Consumer durable,10100,900,0,2,3.4,74,Owned,Vehicle,0,0,43.9,0.54,0
South,Tier 2,Self-employed,29400,52,356000,60,Medical,9800,665,0,1,6.4,89,Rented,None,3,0,35.3,1.01,0
North,Tier 1,Gig/Contract,34500,21,53000,36,Business,0,688,0,2,5.1,76,Company provided,None,2,2,0.4,0.13,0
Northeast,Tier 1,Self-employed,29300,22,227000,60,Two-wheeler,13900,730,0,1,8.5,78,Rented,None,0,0,48.7,0.65,0
North,Metro,Salaried,26900,22,383000,12,Home improvement,11100,673,0,2,17.8,80,Owned,None,2,0,52.5,1.19,0
North,Tier 2,Salaried,22300,49,373000,36,Medical,7500,528,1,3,3.3,82,Rented,Vehicle,0,2,38.0,1.39,0
South,Tier 1,Unemployed,66300,40,331000,12,Two-wheeler,12000,787,0,0,9.3,86,Rented,Gold,3,0,22.1,0.42,0
West,Metro,Salaried,81700,37,417000,18,Consumer durable,21200,601,1,4,4.9,100,Owned,None,3,2,28.6,0.43,0
Central,Tier 1,Salaried,36700,38,35000,60,Consumer durable,13800,687,0,0,8.5,81,Family owned,Gold,2,1,37.8,0.08,0
East,Tier 3/Rural,Salaried,41800,35,596000,24,Education,2800,658,0,1,6.5,72,Owned,None,1,1,12.3,1.19,0
East,Tier 3/Rural,Salaried,22700,25,259000,36,Home improvement,14000,674,0,1,4.4,59,Family owned,Gold,4,0,64.7,0.95,0
North,Tier 3/Rural,Unemployed,43900,41,498000,60,Education,16400,729,0,2,9.5,73,Family owned,None,3,0,39.2,0.95,0
South,Tier 2,Salaried,47900,34,97000,48,Home improvement,4600,793,0,1,4.7,88,Owned,None,2,0,10.0,0.17,0
South,Tier 2,Salaried,37400,24,67000,6,Medical,8900,775,0,0,3.5,45,Family owned,Vehicle,1,0,26.6,0.15,0
North,Tier 2,Self-employed,52500,42,667000,12,Personal,18900,786,0,1,9.1,90,Family owned,Vehicle,2,0,46.1,1.06,0
South,Tier 3/Rural,Salaried,50000,32,114000,60,Personal,19100,782,0,0,3.5,59,Rented,Vehicle,1,0,38.6,0.19,0
South,Tier 2,Salaried,23600,38,171000,24,Two-wheeler,4900,604,0,0,8.9,63,Rented,None,3,0,23.6,0.6,1
North,Tier 1,Unemployed,81300,35,294000,24,Consumer durable,17200,667,0,0,6.1,76,Owned,Gold,1,2,22.6,0.3,0
West,Tier 2,Gig/Contract,37600,45,345000,6,Two-wheeler,8300,755,0,0,6.3,58,Owned,None,1,1,36.6,0.76,0
East,Tier 2,Salaried,106000,38,421000,6,Medical,18800,727,0,2,3.2,75,Family owned,None,1,0,24.0,0.33,0
North,Metro,Salaried,53200,27,242000,60,Education,5400,757,0,0,6.5,46,Owned,Gold,1,0,10.9,0.38,0
West,Tier 1,Salaried,124700,39,105000,24,Two-wheeler,1100,701,0,0,4.5,83,Owned,Gold,2,0,1.2,0.07,0
East,Tier 1,Salaried,80500,40,331000,48,Consumer durable,38000,615,1,0,13.1,71,Rented,Property,3,0,48.0,0.34,1
East,Tier 3/Rural,Self-employed,47800,41,334000,12,Business,3800,671,0,1,2.5,67,Owned,None,3,0,13.5,0.58,0
East,Tier 1,Self-employed,28300,46,64000,12,Two-wheeler,6500,770,0,4,10.7,72,Family owned,Vehicle,0,0,24.8,0.19,0
South,Tier 3/Rural,Gig/Contract,28700,30,526000,24,Personal,5100,667,0,0,11.2,67,Family owned,None,0,0,25.0,1.53,0
East,Tier 1,Business owner,56600,43,41000,48,Personal,10200,616,0,1,7.7,75,Family owned,Gold,1,0,18.2,0.06,0
South,Tier 2,Salaried,45600,21,409000,18,Personal,6000,785,0,1,12.7,63,Owned,Vehicle,3,1,17.9,0.75,0
South,Metro,Business owner,30500,35,138000,18,Two-wheeler,6600,792,0,4,5.1,62,Rented,Vehicle,3,0,24.0,0.38,0
North,Tier 3/Rural,Self-employed,66700,33,331000,24,Business,30900,752,0,0,5.5,35,Family owned,Property,0,1,48.3,0.41,0
South,Tier 2,Salaried,43100,50,291000,6,Two-wheeler,10200,697,0,0,8.0,92,Rented,Vehicle,1,0,34.4,0.56,0
South,Tier 1,Business owner,66900,34,204000,24,Personal,19300,663,0,1,5.2,46,Rented,None,3,1,30.1,0.25,0
South,Tier 1,Salaried,24700,42,280000,24,Two-wheeler,1000,637,1,1,1.3,96,Rented,Fixed deposit,2,2,8.5,0.94,0
